"time","timezone_shift","city_name","temp_c","feels_like_c","temp_min_c","temp_max_c","pressure_hpa","humidity_percent","wind_speed_ms","wind_deg","rain_1h_mm","rain_3h_mm","snow_1h_mm","snow_3h_mm","clouds_percent","weather_type_id"
2021-03-18 20:00:00,-14400,New York,6.71,1.04,5.56,8.0,1009.0,93.0,6.69,30,1.35,,,,90,701
2021-03-18 21:00:00,-14400,New York,6.74,1.44,5.56,7.22,1009.0,93.0,6.17,40,0.71,4.23,,,90,500
2021-03-18 22:00:00,-14400,New York,6.64,0.6,5.56,7.22,1008.0,93.0,7.2,30,0.85,,,,90,500
2021-03-18 23:00:00,-14400,New York,6.63,1.3,5.56,7.22,1008.0,93.0,6.17,40,0.9,,,,90,500
2021-03-18 23:00:00,-14400,New York,6.63,1.3,5.56,7.22,1008.0,93.0,6.17,40,0.9,,,,90,701
2021-03-19 00:00:00,-14400,New York,6.63,2.74,5.56,7.78,1009.0,93.0,4.12,50,0.51,,,,90,500
2021-03-19 01:00:00,-14400,New York,6.68,2.44,6.0,7.22,1009.0,93.0,4.63,40,0.25,,,,90,500
2021-03-19 02:00:00,-14400,New York,6.47,2.55,5.56,7.22,1009.0,93.0,4.12,60,0.25,,,,90,500
2021-03-19 03:00:00,-14400,New York,6.23,3.51,5.0,7.22,1008.0,87.0,2.06,60,0.68,0.34,,,90,500
2021-03-19 04:00:00,-14400,New York,6.01,0.37,5.0,7.0,1008.0,87.0,6.17,60,0.25,,,,90,500
2021-03-19 05:00:00,-14400,New York,5.4,0.73,4.0,6.11,1010.0,87.0,4.63,50,0.55,,,,90,500
2021-03-19 06:00:00,-14400,New York,3.9,0.42,3.33,4.55,1012.0,87.0,2.57,0,1.05,,,,90,501
2021-03-19 07:00:00,-14400,New York,2.46,-1.25,1.67,4.05,1012.0,87.0,2.57,0,1.02,,,,90,501
2021-03-19 08:00:00,-14400,New York,2.54,-3.37,1.67,3.7,1012.0,70.0,5.14,60,0.25,,,,90,500
2021-03-19 09:00:00,-14400,New York,2.07,-3.95,1.11,3.0,1014.0,52.0,4.63,70,0.25,1.15,,,90,500
2021-03-19 10:00:00,-14400,New York,1.31,-4.51,0.56,2.0,1015.0,48.0,4.12,90,,,,,20,801
2021-03-19 11:00:00,-14400,New York,0.48,-6.81,-0.56,1.25,1016.0,32.0,5.66,20,,,,,1,800
2021-03-19 12:00:00,-14400,New York,0.06,-8.6,-1.11,1.25,1018.0,37.0,7.72,40,,,,,1,800
2021-03-19 13:00:00,-14400,New York,-0.03,-6.59,-1.11,1.25,1019.0,34.0,4.63,20,,,,,1,800
2021-03-19 14:00:00,-14400,New York,0.43,-7.59,-0.56,2.0,1021.0,32.0,6.69,10,,,,,1,800
2021-03-19 15:00:00,-14400,New York,1.21,-7.13,0.0,2.22,1022.0,32.0,7.2,10,,,,,1,800
2021-03-19 16:00:00,-14400,New York,1.97,-6.02,0.47,3.33,1023.0,30.0,6.69,360,,,,,1,800
2021-03-19 17:00:00,-14400,New York,2.97,-4.65,1.67,3.89,1024.0,28.0,6.17,350,,,,,1,800
2021-03-19 18:00:00,-14400,New York,4.22,-1.1,2.22,6.0,1025.0,31.0,3.09,0,,,,,1,800
2021-03-19 19:00:00,-14400,New York,4.95,-2.68,3.23,6.11,1024.0,24.0,6.17,40,,,,,1,800
2021-03-19 20:00:00,-14400,New York,5.67,-0.79,4.3,7.0,1025.0,26.0,4.63,80,,,,,1,800
2021-03-19 21:00:00,-14400,New York,5.95,-0.35,4.3,7.22,1025.0,19.0,4.12,20,,,,,1,800
2021-03-19 22:00:00,-14400,New York,5.97,-1.35,4.3,7.22,1026.0,21.0,5.66,20,,,,,1,800
2021-03-19 23:00:00,-14400,New York,5.41,-1.57,4.44,6.11,1027.0,21.0,5.14,30,,,,,1,800
2021-03-20 00:00:00,-14400,New York,4.5,-2.02,3.33,5.56,1027.0,26.0,4.63,20,,,,,1,800
2021-03-20 01:00:00,-14400,New York,4.0,-0.83,2.22,5.56,1028.0,36.0,2.57,0,,,,,1,800
2021-03-20 02:00:00,-14400,New York,3.47,-1.12,1.67,5.0,1029.0,33.0,2.06,0,,,,,1,800
2021-03-20 03:00:00,-14400,New York,3.09,-1.32,1.67,5.0,1030.0,41.0,2.06,0,,,,,1,800
2021-03-20 04:00:00,-14400,New York,2.37,-4.19,0.0,4.27,1030.0,38.0,4.96,25,,,,,1,800
2021-03-20 05:00:00,-14400,New York,2.24,-3.51,0.56,3.89,1031.0,41.0,3.88,5,,,,,1,800
2021-03-20 06:00:00,-14400,New York,1.97,-2.52,0.0,3.53,1032.0,41.0,2.06,0,,,,,1,800
2021-03-20 07:00:00,-14400,New York,1.75,-3.41,0.0,3.53,1032.0,44.0,3.09,50,,,,,1,800
